employee_id,first_name,last_name,city,country,works_for_branch_id,email,phone_number,salary,position,street_name,street_number,manages_branch_id
6000,Ronald,Higashikata,Herst,Russia,830,babyshark7968@employee.com,3170956284,2642,IT support,Warudo street,605,-1
6001,Theodore,Costello,Texcoco,Mexico,806,eloteasado8065@employee.com,3604198275,2386,counter,Warudo street,779,-1
6002,Jolyne,Cujoh,Texcoco,Tenochtitlan,942,eloteasado1240@employee.com,5864912730,5282,manager,Warudo street,761,922
6003,Dio,Dali,Toronto,Portugal,940,cactus5179@employee.com,8124375609,1631,cleaner,Bucciarati street,868,-1
6004,Dio,Perez,Toronto,Peru,928,employee0387@employee.com,8593240167,2945,estate agent,Cuyo street,492,-1
6005,Jonathan,Higashikata,Halifax,Bolivia,905,babyshark5690@employee.com,8953401276,2635,cleaner,Megalodon street,816,-1
6006,Joe,Speedwagon,Herst,Canada,804,babyshark0432@employee.com,1258094376,2457,IT support,Papaya street,465,-1
6007,Joseph,Hernandez,Mazunte,Japan,806,mathpro6597@employee.com,3412587690,1036,counter,TimeGrove street,149,-1
6008,Monica,NijimuraConrado,Toronto,China,980,daddyshark6835@employee.com,8734509216,2510,cleaner,Papaya street,128,-1
6009,Ted,Speedwagon,White Plains,Canada,819,mathpro4269@employee.com,4209761835,2275,IT support,Megalodon street,38,-1
6010,Dio,Kujo,Nezahualcoyotl,Japan,852,mommyshark6370@employee.com,6470283195,2756,counter,Melon street,830,-1
6011,Ronald,Costello,Hamilton,Brazil,868,eloteasado1658@employee.com,8730564921,6744,manager,MistaTrish street,340,868
6012,Joe,Costello,New York,Belorussia,829,mathpro3724@employee.com,8150367429,2259,cleaner,Pollo street,800,-1
6013,Dio,Brando,Tizatlan,Canada,868,diavolo4813@employee.com,4106279385,1384,cleaner,Warudo street,804,-1
6014,Robert,Joestar,Tlaxcala,China,842,eloteasado3219@employee.com,6847235091,1055,cleaner,Cuyo street,805,-1
6015,Steve,NijimuraConrado,New York,China,900,diavolo6182@employee.com,9712843650,2109,counter,Warudo street,314,-1
6016,Ted,Kujo,Nezahualcoyotl,Canada,871,pianomaster7158@employee.com,6402198753,9743,manager,Juarez street,250,952
6017,Bernie,Speedwagon,Tizatlan,Spain,818,mathpro8190@employee.com,0453619287,6419,manager,MistaTrish street,153,845
6018,Ronald,Costello,White Plains,Japan,981,daddyshark9421@employee.com,2806941735,6293,manager,Bucciarati street,882,812
6019,Bernie,Cujoh,Herst,China,910,daddyshark4876@employee.com,8703215496,5154,manager,Bucciarati street,363,815
6020,Ronald,Higashikata,Oaxaca,Colombia,866,mathpro6924@employee.com,1370942856,1640,counter,Fish street,703,-1
6021,Josuke,Kujo,Hamilton,Belorussia,943,mommyshark4307@employee.com,8524176390,2436,counter,Bucciarati street,754,-1
6022,Jolyne,Higashikata,Herst,Japan,955,daddyshark9621@employee.com,4639507218,2054,estate agent,Fugo street,168,-1
6023,Monica,Espinoza,Herst,Russia,960,pianomaster4126@employee.com,9176834502,1258,estate agent,Pollo street,930,-1
6024,Josuke,Kujo,Tlaxcala,Tenochtitlan,953,daddyshark6142@employee.com,3601497528,1354,counter,Papaya street,151,-1
6025,Ted,Cujoh,White Plains,Russia,974,babyshark2853@employee.com,6134782059,5108,manager,Papaya street,988,939
6026,Ronald,Brando,Mazatlan,Portugal,946,panteon4658@employee.com,8507392146,2399,IT support,Pollo street,504,-1
6027,Theodore,Perez,Mexico City,Spain,852,daddyshark0437@employee.com,9865721304,5028,manager,TimeGrove street,593,973
6028,Robert,Dali,New York,Canada,926,cactus3409@employee.com,2648107593,2114,IT support,Papaya street,155,-1
6029,Jolyne,Cujoh,Mazunte,Peru,919,daddyshark0415@employee.com,9612035487,2302,estate agent,Bucciarati street,282,-1
6030,Steve,Kujo,Mazatlan,Brazil,860,diavolo4185@employee.com,8574601329,6901,manager,Megalodon street,409,900
6031,Sullivan,Hernandez,Missasauga,Belorussia,983,employee4306@employee.com,9653127048,6213,manager,Papaya street,470,955
6032,Sullivan,Joestar,Oaxaca,China,892,mathpro6315@employee.com,3410792568,1113,cleaner,MistaTrish street,611,-1
6033,Salvador,Torres,Halifax,United States,926,cactus8759@employee.com,4120835976,2993,counter,Warudo street,241,-1
6034,Steve,Hernandez,Mexico City,Brazil,915,cactus4579@employee.com,1390658724,1819,counter,Wuhan street,901,-1
6035,Ronald,Torres,Texcoco,Mexico,899,professional8062@employee.com,2175904638,2911,cleaner,Papaya street,799,-1
6036,Theodore,Dali,Herst,Brazil,807,babyshark2435@employee.com,7659281043,1877,broker,Pollo street,714,-1
6037,Monica,Costello,Hamilton,Brazil,982,daddyshark6145@employee.com,9148065372,2304,cleaner,Juarez street,934,-1
